ObjInstance,Identifier,MethodName,ElapsedMilliseconds,Version
VersionComponent,3166a869-f755-45f6-adfe-16eb21edcc97,GenerateOrders,138,Version0
VersionComponent,3166a869-f755-45f6-adfe-16eb21edcc97,OnInit_OnParam,166,Version0
VersionComponent,3166a869-f755-45f6-adfe-16eb21edcc97,OnParam_OnAfterRender,312,Version0
VersionComponent,3166a869-f755-45f6-adfe-16eb21edcc97,PopulateChartOrderState,12,Version0
VersionComponent,3166a869-f755-45f6-adfe-16eb21edcc97,SetParam,5,Version0
VersionComponent,3166a869-f755-45f6-adfe-16eb21edcc97,SetParam_OnInit,12,Version0
VersionComponent,3166a869-f755-45f6-adfe-16eb21edcc97,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,FINISH,303,Version0
BenchmarkComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,OnInit_OnParam,170,Version0
BenchmarkComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,OnParam_OnAfterRender,303,Version0
BenchmarkComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,SetParam,166,Version0
BenchmarkComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,SetParam_OnInit,170,Version0
VersionComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,FINISH,299,Version0
VersionComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,GenerateOrders,133,Version0
VersionComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,OnInit_OnParam,160,Version0
VersionComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,OnParam_OnAfterRender,289,Version0
VersionComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,PopulateChartOrderState,12,Version0
VersionComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,SetParam,5,Version0
VersionComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,SetParam_OnInit,11,Version0
VersionComponent,38cdcddd-c3b5-4b67-a0dd-35b79814c8a2,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,FINISH,321,Version0
BenchmarkComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,OnInit_OnParam,175,Version0
BenchmarkComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,OnParam_OnAfterRender,320,Version0
BenchmarkComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,SetParam,171,Version0
BenchmarkComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,SetParam_OnInit,174,Version0
VersionComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,FINISH,317,Version0
VersionComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,GenerateOrders,138,Version0
VersionComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,OnInit_OnParam,164,Version0
VersionComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,OnParam_OnAfterRender,306,Version0
VersionComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,PopulateChartOrderState,11,Version0
VersionComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,SetParam,5,Version0
VersionComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,SetParam_OnInit,12,Version0
VersionComponent,3b051221-a657-4e68-b8d7-c6ba9ff090d6,VisualizeOrderStatusSuccess,10,Version0
