ObjInstance,Identifier,MethodName,ElapsedMilliseconds,Version
VersionComponent,635b8f40-a085-475e-84dd-64e14ceb6337,FINISH,472,Version0
VersionComponent,635b8f40-a085-475e-84dd-64e14ceb6337,GenerateOrders,357,Version0
VersionComponent,635b8f40-a085-475e-84dd-64e14ceb6337,OnInit_OnParam,393,Version0
VersionComponent,635b8f40-a085-475e-84dd-64e14ceb6337,OnParam_OnAfterRender,456,Version0
VersionComponent,635b8f40-a085-475e-84dd-64e14ceb6337,PopulateChartOrderState,11,Version0
VersionComponent,635b8f40-a085-475e-84dd-64e14ceb6337,SetParam,8,Version0
VersionComponent,635b8f40-a085-475e-84dd-64e14ceb6337,SetParam_OnInit,22,Version0
VersionComponent,635b8f40-a085-475e-84dd-64e14ceb6337,VisualizeOrderStatusSuccess,15,Version0
BenchmarkComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,FINISH,477,Version0
BenchmarkComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,OnInit_OnParam,411,Version0
BenchmarkComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,OnParam_OnAfterRender,477,Version0
BenchmarkComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,SetParam,408,Version0
BenchmarkComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,SetParam_OnInit,410,Version0
VersionComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,FINISH,472,Version0
VersionComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,GenerateOrders,357,Version0
VersionComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,OnInit_OnParam,393,Version0
VersionComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,OnParam_OnAfterRender,456,Version0
VersionComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,PopulateChartOrderState,11,Version0
VersionComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,SetParam,8,Version0
VersionComponent,6abbd106-931f-4c82-ba71-ad30a6a9a1f6,SetParam_OnInit,22,Version0
